Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,Senior,SalaryPerExperience,AgeGroup
32.0,0,1,0.0,5.0,90000.0,1,0,0,18000.0,2
45.0,0,3,Manager,15.0,150000.0,3,0,1,10000.0,3
52.0,0,2,Director,20.0,200000.0,0,1,0,10000.0,3
42.0,1,2,7.0,12.0,120000.0,0,1,0,10000.0,3
31.0,0,1,Sales Manager,4.0,80000.0,4,3,0,20000.0,2
26.0,1,1,Marketing Coordinator,1.0,45000.0,4,5,0,45000.0,2
38.0,0,3,Scientist,10.0,110000.0,2,2,1,11000.0,2
48.0,1,1,HR Manager,18.0,140000.0,1,1,0,7777.777777777777,3
35.0,0,1,Financial Analyst,6.0,65000.0,4,3,0,10833.333333333334,2
40.0,1,2,Project Manager,14.0,130000.0,0,6,0,9285.714285714286,3
27.0,0,1,Customer Service Rep,2.0,40000.0,3,1,0,20000.0,2
44.0,0,1,Operations Manager,16.0,125000.0,4,5,0,7812.5,3
33.0,1,2,6.0,7.0,90000.0,0,1,0,12857.142857142857,2
39.0,0,3,Engineer,12.0,115000.0,1,7,1,9583.333333333334,2
25.0,1,1,Data Entry Clerk,1.0,35000.0,1,1,0,35000.0,2
51.0,0,1,Sales Director,22.0,180000.0,2,1,0,8181.818181818182,3
34.0,1,2,Business Analyst,5.0,80000.0,4,3,0,16000.0,2
47.0,0,2,VP of Operations,19.0,190000.0,1,0,0,10000.0,3
30.0,0,1,IT Support,2.0,50000.0,1,1,0,25000.0,2
36.0,1,1,Recruiter,9.0,60000.0,4,0,0,6666.666666666667,2
41.0,0,2,Financial Manager,13.0,140000.0,0,6,0,10769.23076923077,3
28.0,1,1,Social Media Specialist,3.0,45000.0,3,0,0,15000.0,2
37.0,1,2,Software Manager,11.0,110000.0,2,1,0,10000.0,2
24.0,0,1,Developer,1.0,40000.0,2,1,0,40000.0,1
43.0,1,3,Consultant,15.0,140000.0,3,4,1,9333.333333333334,3
33.0,0,2,Product Designer,6.0,90000.0,4,3,0,15000.0,2
50.0,0,1,CEO,25.0,250000.0,3,1,0,10000.0,3
31.0,1,1,Accountant,4.0,55000.0,1,0,0,13750.0,2
39.0,1,1,Marketing Specialist,10.0,65000.0,3,0,0,6500.0,2
27.0,0,1,Technical Writer,2.0,45000.0,2,1,0,22500.0,2
35.0,1,1,HR Generalist,7.0,60000.0,1,0,0,8571.42857142857,2
42.0,0,2,4.0,14.0,115000.0,4,0,0,8214.285714285714,3
26.0,1,1,Customer Success Rep,1.0,40000.0,3,1,0,40000.0,2
49.0,0,1,Sales Executive,21.0,160000.0,4,0,0,7619.047619047619,3
34.0,1,2,UX Designer,5.0,80000.0,1,1,0,16000.0,2
48.0,0,2,Operations Director,18.0,190000.0,3,4,0,10555.555555555557,3
30.0,0,1,Network Engineer,3.0,60000.0,4,3,0,20000.0,2
36.0,1,1,Administrative Assistant,8.0,45000.0,1,1,0,5625.0,2
41.0,0,2,Strategy Consultant,13.0,130000.0,1,1,0,10000.0,3
28.0,1,1,Copywriter,2.0,40000.0,0,0,0,20000.0,2
32.0,0,1,Account Manager,5.0,75000.0,2,1,0,15000.0,2
38.0,0,3,Scientist,11.0,120000.0,2,1,1,10909.09090909091,2
25.0,0,1,Help Desk Analyst,1.0,35000.0,0,1,0,35000.0,2
51.0,1,1,Customer Service Manager,22.0,130000.0,4,3,0,5909.090909090909,3
33.0,0,2,Business Intelligence Analyst,7.0,85000.0,2,2,0,12142.857142857143,2
40.0,1,1,Event Coordinator,12.0,60000.0,4,0,0,5000.0,3
47.0,0,2,VP of Finance,19.0,200000.0,2,1,0,10526.315789473683,3
29.0,1,1,Graphic Designer,3.0,50000.0,3,4,0,16666.666666666668,2
36.0,0,1,Sales Manager,9.0,95000.0,4,3,0,10555.555555555557,2
27.0,1,2,UX Researcher,2.0,65000.0,3,0,0,32500.0,2
30.0,1,1,Social Media Manager,4.0,55000.0,3,0,0,13750.0,2
35.0,0,2,7.0,7.0,105000.0,3,1,0,15000.0,2
51.0,1,2,Director of Operations,23.0,170000.0,0,6,0,7391.304347826087,3
29.0,0,1,Marketing Analyst,3.0,50000.0,4,5,0,16666.666666666668,2
40.0,1,1,HR Manager,12.0,80000.0,4,3,0,6666.666666666667,3
47.0,0,3,1.0,21.0,180000.0,4,0,1,8571.42857142857,3
26.0,0,1,Accountant,1.0,35000.0,2,2,0,35000.0,2
38.0,1,2,Digital Marketing Manager,10.0,90000.0,4,3,0,9000.0,2
46.0,0,1,IT Manager,19.0,120000.0,2,2,0,6315.789473684211,3
31.0,1,1,Customer Service Representative,5.0,45000.0,3,1,0,9000.0,2
34.0,0,2,Business Development Manager,8.0,90000.0,3,1,0,11250.0,2
49.0,1,2,Financial Analyst,18.0,150000.0,3,0,1,8333.333333333334,3
39.0,1,1,Recruiter,11.0,70000.0,0,1,0,6363.636363636364,2
45.0,0,3,Research Director,16.0,190000.0,1,7,0,11875.0,3
28.0,0,1,Technical Support Specialist,2.0,40000.0,4,3,0,20000.0,2
42.0,1,2,Creative Director,14.0,120000.0,3,4,0,8571.42857142857,3
37.0,0,1,Project Manager,10.0,95000.0,0,1,0,9500.0,2
50.0,1,1,Operations Manager,22.0,160000.0,0,0,0,7272.727272727273,3
32.0,0,2,0.0,6.0,100000.0,0,6,1,16666.666666666668,2
48.0,1,2,Human Resources Director,20.0,180000.0,3,4,0,9000.0,3
30.0,1,1,Content Marketing Manager,3.0,55000.0,2,0,0,18333.33333333333,2
36.0,0,1,Technical Recruiter,8.0,70000.0,1,1,0,8750.0,2
41.0,1,2,5.0,13.0,80000.0,0,0,0,6153.846153846154,3
25.0,0,1,Sales Representative,1.0,30000.0,2,1,0,30000.0,2
52.0,0,3,Chief Technology Officer,24.0,250000.0,3,4,0,10416.666666666666,3
29.0,1,1,Designer,2.0,40000.0,2,1,0,20000.0,2
34.0,1,2,Financial Advisor,10.0,95000.0,1,0,0,9500.0,2
27.0,0,1,Account Manager,2.0,45000.0,3,0,0,22500.0,2
46.0,0,2,Project Manager,21.0,135000.0,3,1,1,6428.571428571428,3
31.0,1,1,Marketing Coordinator,6.0,55000.0,2,1,0,9166.666666666666,2
36.0,0,3,Principal Scientist,11.0,120000.0,1,7,0,10909.09090909091,2
29.0,1,1,10.0,3.0,40000.0,4,0,0,13333.333333333334,2
52.0,1,2,6.0,25.0,170000.0,4,5,1,6800.0,3
33.0,0,1,Business Analyst,7.0,75000.0,2,2,0,10714.285714285714,2
39.0,1,1,Training Specialist,12.0,65000.0,0,6,0,5416.666666666667,2
47.0,0,3,Research Scientist,22.0,160000.0,2,1,0,7272.727272727273,3
26.0,0,1,Software Developer,1.0,35000.0,4,0,0,35000.0,2
38.0,1,2,Public Relations Manager,10.0,90000.0,1,1,0,9000.0,2
45.0,0,1,Operations Analyst,20.0,110000.0,4,5,0,5500.0,3
31.0,1,1,Event Coordinator,5.0,45000.0,2,1,0,9000.0,2
35.0,0,2,Product Marketing Manager,8.0,95000.0,4,0,0,11875.0,2
49.0,1,2,HR Manager,19.0,150000.0,2,0,1,7894.736842105263,3
33.0,0,1,Web Developer,5.0,50000.0,3,1,0,10000.0,2
44.0,0,3,Chief Data Officer,16.0,220000.0,0,6,0,13750.0,3
30.0,1,1,Digital Content Producer,3.0,50000.0,1,0,0,16666.666666666668,2
36.0,0,1,IT Support Specialist,7.0,60000.0,0,1,0,8571.42857142857,2
41.0,1,2,Marketing Analyst,14.0,100000.0,0,0,1,7142.857142857143,3
42.0,1,2,Graphic Designer,15.0,110000.0,0,1,1,7333.333333333333,3
37.0,0,1,Software Project Manager,9.0,95000.0,1,0,0,10555.555555555557,2
32.0,0,2,Business Analyst,6.0,90000.0,0,1,1,15000.0,2
23.0,1,1,Marketing Analyst,0.5,35000.0,0,0,0,70000.0,1
31.0,0,2,Financial Analyst,6.0,95000.0,2,1,1,15833.333333333334,2
40.0,1,1,Office Manager,15.0,65000.0,0,0,0,4333.333333333333,3
29.0,1,1,HR Generalist,3.0,45000.0,2,2,0,15000.0,2
35.0,0,2,7.0,10.0,120000.0,3,0,1,12000.0,2
42.0,1,1,Sales Manager,17.0,100000.0,4,3,0,5882.35294117647,3
53.0,0,2,Director of Marketing,25.0,180000.0,1,7,0,7200.0,3
33.0,1,1,Operations Analyst,5.0,50000.0,2,2,0,10000.0,2
38.0,0,1,Customer Service Manager,11.0,80000.0,4,0,0,7272.727272727273,2
44.0,1,3,Scientist,16.0,140000.0,1,7,1,8750.0,3
26.0,0,1,Accountant,2.0,40000.0,1,0,0,20000.0,2
37.0,1,2,HR Generalist,9.0,95000.0,0,6,1,10555.555555555557,2
45.0,0,1,Sales Operations Manager,18.0,110000.0,1,0,0,6111.111111111111,3
32.0,1,1,Marketing Coordinator,4.0,50000.0,0,0,0,12500.0,2
34.0,0,2,Software Developer,8.0,105000.0,3,0,1,13125.0,2
50.0,1,2,Director of Operations,21.0,160000.0,1,0,0,7619.047619047619,3
29.0,0,1,Web Designer,3.0,45000.0,4,0,0,15000.0,2
40.0,1,2,Training Specialist,12.0,100000.0,3,4,1,8333.333333333334,3
27.0,0,1,Sales Representative,1.0,35000.0,1,7,0,35000.0,2
39.0,1,1,Administrative Assistant,10.0,55000.0,3,4,0,5500.0,2
46.0,0,2,Project Manager,19.0,140000.0,3,4,1,7368.421052631579,3
30.0,1,1,6.0,4.0,50000.0,3,0,0,12500.0,2
36.0,0,1,5.0,7.0,60000.0,2,1,0,8571.42857142857,2
43.0,1,2,Product Marketing Manager,14.0,120000.0,2,0,1,8571.42857142857,3
28.0,0,1,Business Analyst,2.0,40000.0,0,0,0,20000.0,2
41.0,1,2,6.0,13.0,110000.0,2,2,1,8461.538461538461,3
47.0,0,1,Sales Manager,20.0,135000.0,4,0,1,6750.0,3
25.0,1,2,Marketing Specialist,1.5,40000.0,2,1,0,26666.666666666668,2
34.0,0,1,Business Analyst,8.0,90000.0,2,1,1,11250.0,2
42.0,1,3,1.0,16.0,150000.0,4,5,1,9375.0,3
38.0,1,1,Accountant,10.0,80000.0,0,6,1,8000.0,2
45.0,0,2,Director of Sales,19.0,175000.0,3,4,0,9210.526315789471,3
29.0,1,1,Recruiter,3.0,45000.0,2,2,0,15000.0,2
36.0,0,2,Business Development Manager,11.0,120000.0,3,4,1,10909.09090909091,2
43.0,1,3,Product Designer,18.0,140000.0,2,1,1,7777.777777777777,3
26.0,0,1,Customer Support Specialist,2.0,35000.0,0,1,0,17500.0,2
37.0,1,2,Marketing Analyst,9.0,95000.0,3,0,1,10555.555555555557,2
44.0,0,1,IT Support Specialist,14.0,110000.0,0,6,1,7857.142857142857,3
32.0,1,1,Financial Analyst,5.0,50000.0,0,1,0,10000.0,2
33.0,0,2,Operations Manager,7.0,115000.0,4,3,1,16428.571428571428,2
51.0,1,3,Director of Human Resources,23.0,185000.0,4,5,0,8043.478260869565,3
28.0,0,1,0.0,2.0,40000.0,2,0,0,20000.0,2
39.0,1,1,Sales Representative,12.0,90000.0,0,1,1,7500.0,2
48.0,0,2,Director of Product Management,21.0,175000.0,0,1,0,8333.333333333334,3
30.0,1,1,Copywriter,3.0,45000.0,1,7,0,15000.0,2
35.0,0,1,Marketing Coordinator,7.0,80000.0,4,0,1,11428.57142857143,2
41.0,1,2,Human Resources Manager,13.0,120000.0,4,3,1,9230.76923076923,3
27.0,0,1,Business Development Associate,1.5,35000.0,4,0,0,23333.33333333333,2
40.0,1,1,Account Manager,14.0,110000.0,2,2,1,7857.142857142857,3
46.0,0,3,Researcher,18.0,150000.0,3,4,1,8333.333333333334,3
31.0,1,1,HR Coordinator,4.0,50000.0,4,3,0,12500.0,2
34.0,0,2,0.0,9.0,105000.0,4,3,1,11666.666666666666,2
50.0,1,2,Director of Finance,20.0,180000.0,2,2,0,9000.0,3
29.0,0,1,Marketing Coordinator,2.0,40000.0,3,1,0,20000.0,2
43.0,0,1,Project Manager,16.0,140000.0,1,0,1,8750.0,3
26.0,1,2,1.0,1.5,45000.0,3,1,0,30000.0,2
35.0,0,1,Operations Analyst,7.0,85000.0,4,0,1,12142.857142857143,2
42.0,1,3,6.0,18.0,140000.0,1,1,1,7777.777777777777,3
38.0,1,1,Human Resources Coordinator,10.0,80000.0,1,1,1,8000.0,2
46.0,0,2,Director of Operations,20.0,170000.0,0,1,0,8500.0,3
37.0,0,2,Business Analyst,9.0,105000.0,4,5,1,11666.666666666666,2
36.0,1,1,Marketing Specialist,8.0,85000.0,0,6,1,10625.0,2
43.0,0,1,IT Project Manager,14.0,130000.0,4,5,1,9285.714285714286,3
33.0,1,2,Financial Analyst,6.0,95000.0,3,0,1,15833.333333333334,2
34.0,0,1,Quality Assurance Analyst,9.0,100000.0,1,7,1,11111.111111111111,2
50.0,1,3,Director of Sales and Marketing,22.0,180000.0,4,3,0,8181.818181818182,3
39.0,1,1,Account Executive,12.0,95000.0,0,6,1,7916.666666666667,2
47.0,0,2,Director of Business Development,19.0,170000.0,2,1,0,8947.368421052632,3
30.0,1,1,Social Media Manager,3.0,45000.0,2,2,0,15000.0,2
34.0,0,1,7.0,7.0,95000.0,4,5,1,13571.42857142857,2
28.0,0,1,Business Analyst,2.0,40000.0,0,6,0,20000.0,2
41.0,1,1,Marketing Coordinator,11.0,90000.0,3,1,1,8181.818181818182,3
45.0,0,3,5.0,17.0,155000.0,1,1,1,9117.64705882353,3
32.0,1,1,Account Manager,5.0,55000.0,2,1,0,11000.0,2
35.0,0,2,Software Developer,9.0,110000.0,3,1,1,12222.222222222224,2
49.0,1,2,Director of Human Capital,21.0,180000.0,1,7,0,8571.42857142857,3
30.0,0,1,Advertising Coordinator,3.0,45000.0,1,0,0,15000.0,2
44.0,0,1,Sales Manager,16.0,130000.0,0,1,1,8125.0,3
36.0,0,1,Accountant,7.0,90000.0,3,0,1,12857.142857142857,2
41.0,1,3,Marketing Director,17.0,160000.0,1,7,1,9411.764705882351,3
31.0,0,1,HR Generalist,4.0,50000.0,4,5,0,12500.0,2
39.0,1,1,Operations Manager,10.0,120000.0,2,1,1,12000.0,2
47.0,0,2,Director of Finance,20.0,170000.0,2,2,0,8500.0,3
30.0,1,1,Marketing Coordinator,2.0,40000.0,4,3,0,20000.0,2
38.0,0,2,IT Consultant,9.0,110000.0,4,0,1,12222.222222222224,2
45.0,1,3,Product Designer,15.0,150000.0,4,5,1,10000.0,3
28.0,0,1,Business Development Associate,2.0,40000.0,0,1,0,20000.0,2
35.0,1,1,Marketing Analyst,8.0,85000.0,0,0,1,10625.0,2
44.0,0,1,0.0,14.0,130000.0,4,5,1,9285.714285714286,3
35.0,0,1,Project Coordinator,9.0,95000.0,3,0,1,10555.555555555557,2
50.0,1,3,Director of Operations,22.0,180000.0,2,2,0,8181.818181818182,3
29.0,0,1,Business Operations Analyst,1.5,35000.0,1,1,0,23333.33333333333,2
40.0,1,1,Sales Representative,12.0,100000.0,4,5,1,8333.333333333334,3
42.0,1,2,Human Resources Manager,13.0,140000.0,4,0,1,10769.23076923077,3
28.0,0,1,Financial Analyst,2.0,40000.0,2,2,0,20000.0,2
40.0,1,1,6.0,11.0,105000.0,1,0,1,9545.454545454546,3
46.0,0,3,1.0,18.0,160000.0,3,0,1,8888.888888888889,3
33.0,1,1,Operations Manager,5.0,70000.0,2,1,0,14000.0,2
37.0,0,2,Software Architect,9.0,120000.0,2,2,1,13333.333333333334,2
30.0,0,1,Marketing Specialist,3.0,45000.0,3,4,0,15000.0,2
43.0,0,1,Project Manager,15.0,120000.0,3,1,1,8000.0,3
